teamId,title,code
31,Russia,RUS
10,Greece,GRE
6,Netherlands,NED
25,Germany,GER
26,Portugal,POR
5,Spain,ESP
16,Italy,ITA
2,Croatia,CRO
19,France,FRA
15,England,ENG
17,Switzerland,SUI
29,Belgium,BEL
22,Bosnia-Herzegovina,BIH
30,Algeria,ALG
11,C̫te d'Ivoire,CIV
27,Ghana,GHA
4,Cameroon,CMR
24,Nigeria,NGA
3,Mexico,MEX
28,United States,USA
20,Honduras,HON
14,Costa Rica,CRC
21,Argentina,ARG
1,Brazil,BRA
7,Chile,CHI
13,Uruguay,URU
9,Colombia,COL
18,Ecuador,ECU
8,Australia,AUS
12,Japan,JPN
32,South Korea,KOR
23,Iran,IRN
